Student Number,Science Act 1,Science Act 2,Science Act 3,English Act 1,English Act 2,English Act 3,Maths Act 1,Maths Act 2,Maths Act 3
20000053,12.0,48.0,30.0,30.0,34.0,42.0,47.0,40.0,42.0
20000054,39.0,39.0,44.0,46.0,47.0,20.0,43.0,41.0,35.0
20000055,35.0,41.0,33.0,16.0,47.0,25.0,15.0,50.0,16.0
20000056,47.0,42.0,40.0,32.0,25.0,14.0,27.0,21.0,37.0
20000057,40.0,18.0,21.0,,38.0,34.0,37.0,34.0,46.0
20000058,36.0,49.0,36.0,23.0,15.0,24.0,45.0,,49.0
20000059,16.0,48.0,46.0,40.0,44.0,35.0,43.0,30.0,46.0
20000060,38.0,41.0,36.0,33.0,33.0,11.0,19.0,34.0,35.0
20000061,41.0,41.0,48.0,26.0,28.0,30.0,20.0,31.0,43.0
20000062,37.0,36.0,35.0,18.0,40.0,15.0,13.0,32.0,14.0
20000063,19.0,49.0,30.0,47.0,40.0,36.0,33.0,48.0,30.0
20000064,35.0,16.0,31.0,42.0,38.0,33.0,32.0,39.0,40.0
20000065,24.0,17.0,33.0,48.0,38.0,42.0,43.0,43.0,36.0
20000066,34.0,46.0,42.0,14.0,37.0,17.0,20.0,50.0,39.0
20000067,34.0,48.0,43.0,16.0,49.0,36.0,49.0,21.0,43.0
20000068,33.0,43.0,49.0,41.0,,39.0,33.0,26.0,24.0
20000069,39.0,36.0,32.0,32.0,14.0,20.0,10.0,17.0,18.0
20000070,47.0,41.0,32.0,17.0,,24.0,43.0,37.0,23.0
20000071,36.0,47.0,12.0,31.0,46.0,40.0,39.0,30.0,48.0
20000072,16.0,11.0,29.0,34.0,50.0,30.0,50.0,43.0,50.0
20000073,44.0,42.0,41.0,49.0,13.0,29.0,25.0,46.0,50.0
20000074,35.0,32.0,39.0,25.0,32.0,16.0,,43.0,36.0
20000075,46.0,30.0,32.0,37.0,50.0,43.0,48.0,27.0,12.0
20000076,26.0,21.0,12.0,50.0,50.0,31.0,36.0,45.0,46.0
20000077,44.0,46.0,33.0,17.0,25.0,32.0,45.0,49.0,26.0
20000078,39.0,46.0,48.0,48.0,38.0,50.0,48.0,39.0,35.0
20000079,35.0,32.0,50.0,39.0,34.0,34.0,39.0,50.0,36.0
20000080,46.0,10.0,49.0,35.0,37.0,,34.0,30.0,44.0
20000081,44.0,39.0,40.0,19.0,45.0,10.0,11.0,18.0,49.0
20000082,37.0,31.0,46.0,14.0,29.0,21.0,14.0,46.0,16.0
20000083,27.0,48.0,46.0,43.0,42.0,30.0,45.0,43.0,45.0
20000084,50.0,39.0,18.0,33.0,46.0,34.0,37.0,35.0,41.0
20000085,45.0,35.0,43.0,29.0,40.0,47.0,35.0,38.0,45.0
20000086,50.0,36.0,42.0,22.0,19.0,14.0,38.0,40.0,39.0
20000087,45.0,45.0,42.0,15.0,25.0,38.0,46.0,24.0,31.0
20000088,34.0,42.0,44.0,13.0,48.0,36.0,29.0,39.0,35.0
20000089,30.0,23.0,26.0,39.0,44.0,36.0,37.0,49.0,43.0
20000090,,14.0,12.0,33.0,40.0,30.0,46.0,37.0,50.0
20000091,23.0,26.0,25.0,45.0,30.0,36.0,42.0,43.0,32.0
20000092,43.0,32.0,39.0,42.0,33.0,43.0,48.0,11.0,
20000093,38.0,20.0,32.0,44.0,47.0,40.0,36.0,44.0,42.0
20000094,28.0,48.0,44.0,47.0,50.0,49.0,35.0,36.0,48.0
20000095,35.0,38.0,39.0,43.0,47.0,23.0,39.0,49.0,42.0
20000096,46.0,41.0,46.0,12.0,27.0,28.0,26.0,14.0,13.0
20000097,45.0,41.0,32.0,17.0,19.0,45.0,40.0,37.0,23.0
20000098,32.0,20.0,23.0,41.0,45.0,47.0,42.0,44.0,49.0
20000099,46.0,31.0,43.0,13.0,49.0,20.0,23.0,45.0,25.0
